id;text;locale_key;group;link;external_link;target;icon;disabled;hide;hide_in_breadcrumb;shortcut;shortcut_root;reuse;code;description;type;order;api_permission_codes;parent_id;component_file;redirect
322;查看对象存储配置;;false;/files/oss-config/:entityId/detail;;SELF;;false;true;false;false;false;false;ossOssConfigDetail;;MENU;1;;115;files/oss-config/oss-config-detail;
323;表单配置;;false;/settings/form-config;;SELF;;false;false;false;false;false;false;systemFormConfigList;;MENU;1;;54;settings/form-config/form-config-list;
324;新建表单配置;;false;;;SELF;;false;true;false;false;false;false;system:formConfig:new;;BUTTON;1;;323;;
325;编辑表单配置;;false;;;SELF;;false;true;false;false;false;false;system:formConfig:edit;;BUTTON;1;;323;;
326;查看表单配置;;false;;;SELF;;false;true;false;false;false;false;system:formConfig:detail;;BUTTON;1;;323;;
327;删除表单配置;;false;;;SELF;;false;true;false;false;false;false;system:formConfig:delete;;BUTTON;1;;323;;
328;导入表单配置;;false;;;SELF;;false;true;false;false;false;false;system:formConfig:import;;BUTTON;1;;323;;
329;导出表单配置;;false;;;SELF;;false;true;false;false;false;false;system:formConfig:export;;BUTTON;1;;323;;
330;打印表单配置;;false;;;SELF;;false;true;false;false;false;false;system:formConfig:print;;BUTTON;1;;323;;
331;列配置表单配置;;false;;;SELF;;false;true;false;false;false;false;system:formConfig:customColumn;;BUTTON;1;;323;;
332;编辑表单配置;;false;/settings/form-config/:entityId/edit;;SELF;;false;true;false;false;false;false;systemFormConfigEdit;;MENU;1;;54;settings/form-config/form-config-edit;
333;新建表单配置;;false;/settings/form-config/new;;SELF;;false;true;false;false;false;false;systemFormConfigNew;;MENU;1;;54;settings/form-config/form-config-edit;
334;查看表单配置;;false;/settings/form-config/:entityId/detail;;SELF;;false;true;false;false;false;false;systemFormConfigDetail;;MENU;1;;54;settings/form-config/form-config-detail;
335;网站配置;;false;/settings/system-config;;SELF;;false;false;false;false;false;false;systemSystemConfigList;;MENU;1;;54;settings/system-config/system-config-list;
336;新建网站配置;;false;;;SELF;;false;true;false;false;false;false;system:systemConfig:new;;BUTTON;1;;335;;
337;编辑网站配置;;false;;;SELF;;false;true;false;false;false;false;system:systemConfig:edit;;BUTTON;1;;335;;
338;查看网站配置;;false;;;SELF;;false;true;false;false;false;false;system:systemConfig:detail;;BUTTON;1;;335;;
339;删除网站配置;;false;;;SELF;;false;true;false;false;false;false;system:systemConfig:delete;;BUTTON;1;;335;;
340;导入网站配置;;false;;;SELF;;false;true;false;false;false;false;system:systemConfig:import;;BUTTON;1;;335;;
341;导出网站配置;;false;;;SELF;;false;true;false;false;false;false;system:systemConfig:export;;BUTTON;1;;335;;
342;打印网站配置;;false;;;SELF;;false;true;false;false;false;false;system:systemConfig:print;;BUTTON;1;;335;;
